cust,biz_type,total_yards,compost,garbage,recycle,needed_recycle,needed_compost,enough_recycle_compost,compost_cost,garbage_cost,recycle_cost
98,MINI MART,20,0,4,16,2,1,0,0,813.98,150
218,WINERY,9.920000000000002,0.48,4,5.440000000000001,2,1,0,0,890.4,75
345,WINERY,4,0,4,0,2,1,0,0,890.4,0
567,MEDICAL,0.96,0,0.48,0.48,0,0,1,0,97.87,0
717,GROCERY,0.8,0,0.32,0.48,0,0,1,0,65.25,0
767,WINERY,1.28,0.48,0.32,0.48,0,0,1,0,89.71,0
800,WINERY,4.32,0,1.44,2.88,1,0,1,0,134.57,100.93
806,WINERY,3.44,0,2,1.44,1,1,0,0,597.92,0
939,OFFICE BLD,2.88,1.44,0.96,0.48,0,0,1,0,97.87,0
948,RESTAURANT,4,0,4,0,2,1,0,0,842.69,0
1084,WINERY,21.92,0.48,16,5.440000000000001,8,5,0,0,3520.46,75
1092,WINERY,11.440000000000001,0,6,5.440000000000001,3,2,0,0,1298.25,75
1575,WINERY,2,0,2,0,1,1,0,0,760.91,0
1742,PRESCHOOL,1.12,0.48,0.16,0.48,0,0,1,0,44.86,0
1767,FLORIST,4.4,0.96,2,1.44,1,1,0,0,363.91,0
1824,WINERY,0.96,0,0,0.96,0,0,1,0,0,201.86
2064,WINERY,11.440000000000001,8.48,2,0.96,1,1,0,1210.94,482.56,0
2226,VINEYARD,4.9399999999999995,0,3.5,1.44,2,1,0,0,0,0
2253,CHURCH,1.44,0.48,0.48,0.48,0,0,1,0,97.87,0
2339,VINEYARD,18.4,0,6,12.4,3,2,0,0,1372.96,150
2342,WINERY,2.88,0,1.44,1.44,1,0,1,0,162.35,0
2372,WINERY,1.76,0,0.32,1.44,0,0,1,0,98.42,100.93
2678,HOME IMPRO,2.88,0,1.44,1.44,1,0,1,0,293.61,0
2754,MULTIFAMIL,8.4,0.96,6,1.44,3,2,0,68.91,1158.56,0
2810,PRESCHOOL,1.28,0.48,0.32,0.48,0,0,1,0,67.49,0
3159,WINERY,0.8,0,0.32,0.48,0,0,1,0,89.71,0
3630,VINEYARD,0.96,0,0.48,0.48,0,0,1,0,134.57,0
3723,MEDICAL,2.88,0.96,0.96,0.96,0,0,1,0,97.87,0
3842,WINERY,13.280000000000001,0.8,2,10.48,1,1,0,0,482.56,150
3844,MIXED USE,6.08,0.64,4,1.44,2,1,0,0,1005.67,0
4126,WINERY,3.92,0.48,2,1.44,1,1,0,0,597.92,0
4196,WINERY,20.8,0.32,6.48,14,3,2,0,28.34,1778.9199999999998,990.85
4226,WINERY,13.440000000000001,0.48,2,10.96,1,1,0,0,482.56,150
4260,WINERY,6,0,2,4,1,1,0,0,482.56,667.81
4308,WINERY,35.92,0,6,29.92,3,2,0,0,2133.3,225
4420,LODGING-FW,1.44,0,0.48,0.96,0,0,1,0,103.93,0
4445,WINERY,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
4449,WINERY,4,0,2,2,1,1,0,0,540.19,405.15
4454,SCHOOL,0.96,0.48,0,0.48,0,0,1,0,0,0
4477,WINERY,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
4520,MULTIFAMIL,1.44,0.48,0.48,0.48,0,0,1,0,101.24,0
4631,WINERY,2.88,0.48,0.96,1.44,0,0,1,0,134.57,100.93
4686,STRIP MALL,3.92,0.48,2,1.44,1,1,0,0,439.46,0
4780,WINERY,0.96,0,0.48,0.48,0,0,1,0,134.57,0
4781,WINERY,1.28,0.48,0.32,0.48,0,0,1,0,89.71,0
4831,FOURPLEX,2.24,0.96,0.32,0.96,0,0,1,0,34.64,0
4845,UTILITY,60,0,6,54,3,2,0,0,1298.25,225
4859,OFFICE BLD,1.44,0,0.48,0.96,0,0,1,0,97.87,73.41
4963,OFFICE BLD,0.96,0,0.48,0.48,0,0,1,0,97.87,0
5017,RESTAURANT,1.44,0,0.96,0.48,0,0,1,0,97.87,0
5026,WINERY,3.98,0,3.5,0.48,2,1,0,0,0,0
5055,WINERY,3.6,0,2.16,1.44,1,1,0,0,527.42,0
5212,LANDSCAPER,0.96,0,0.48,0.48,0,0,1,0,134.57,0
5311,WINERY,3.2,0.48,1.28,1.44,1,0,1,0,358.84999999999997,0
5401,WINERY,2.24,0.32,0.48,1.44,0,0,1,0,101.24,151.84
5492,STRIP MALL,0.64,0,0.16,0.48,0,0,1,0,32.62,0
5504,OFFICE BLD,0.64,0,0.16,0.48,0,0,1,0,32.62,0
5662,RETAIL,0.8,0,0.32,0.48,0,0,1,0,65.25,0
5827,RETAIL,0.96,0,0.48,0.48,0,0,1,0,97.87,0
5868,WINERY,7,0,3.5,3.5,2,1,0,0,0,0
6090,UTILITY,1.6,0.48,0.64,0.48,0,0,1,0,130.5,0
6204,HOME IMPRO,0.8,0,0.32,0.48,0,0,1,0,65.25,0
6205,CONTRACTOR,1.28,0.48,0.32,0.48,0,0,1,0,89.71,0
6413,MIXED USE,3.92,1.44,2,0.48,1,1,0,183.04,482.56,0
6542,WINERY,7,0,3.5,3.5,2,1,0,0,0,0
6640,RESTAURANT,14.64,6.24,2,6.4,1,1,1,0,439.46,75
6796,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6835,WINERY,3.44,0,2,1.44,1,1,0,0,482.56,0
7162,WINERY,3.44,0,2,1.44,1,1,0,0,760.91,0
7567,CONTRACTOR,2,0,2,0,1,1,0,0,363.91,0
7679,COMMUNITY,0.64,0,0.16,0.48,0,0,1,0,32.62,0
7849,MIXED USE,32,0,16,16,8,5,0,0,2557.94,1918.46
8041,LODGING,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
8045,WINERY,2.56,0.96,0.64,0.96,0,0,1,0,179.42,0
8063,GROCERY,58,2.56,18,37.44,9,6,0,0,2921.8500000000004,225
8141,WINERY,3.92,0.48,2,1.44,1,1,0,0,540.19,0
