cust,monthly_bill,qty,size,weekly_yards,commodity,pickups,bin_amount,tax_body,biz_type
98,888.98,1,4,4,Garbage,1,813.98,C,MINI MART
98,888.98,1,4,8,Recycle,2,75,C,MINI MART
98,888.98,1,4,8,Recycle,2,75,C,MINI MART
218,965.4,1,4,4,Recycle,1,75,COUNTY,WINERY
218,965.4,1,4,4,Garbage,1,890.4,COUNTY,WINERY
218,965.4,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
218,965.4,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
218,965.4,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
218,965.4,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
345,890.4,1,4,4,Garbage,1,890.4,COUNTY,WINERY
369,44.86,1,0.48,0.48,Recycle,1,0,COUNTY,
567,97.87,1,0.48,0.48,Recycle,1,0,S,MEDICAL
717,65.25,1,0.48,0.48,Recycle,1,0,S,GROCERY
767,89.71,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
767,89.71,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
800,706.5,3,0.48,1.44,Recycle,1,0,COUNTY,WINERY
800,706.5,3,0.48,1.44,Recycle,1,100.93,COUNTY,WINERY
806,597.92,1,2,2,Garbage,1,597.92,COUNTY,WINERY
806,597.92,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
806,597.92,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
806,597.92,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
939,195.74,1,0.48,0.48,Compost,1,0,S,OFFICE BLD
939,195.74,1,0.48,0.48,Recycle,1,0,S,OFFICE BLD
939,195.74,1,0.48,0.48,Compost,1,0,S,OFFICE BLD
939,195.74,1,0.48,0.48,Compost,1,0,S,OFFICE BLD
948,842.69,1,4,4,Garbage,1,842.69,C,RESTAURANT
1084,1835.23,1,4,8,Garbage,2,1760.23,COUNTY,WINERY
1084,1835.23,1,4,8,Garbage,2,1760.23,COUNTY,WINERY
1084,1835.23,1,4,4,Recycle,1,75,COUNTY,WINERY
1084,1835.23,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
1084,1835.23,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
1084,1835.23,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
1084,1835.23,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
