CO,CUST#,TAX BODY,CYCLE,MTH$,BAL DUE,UNAPPLIED,CURRENT,30+,60+,90+,V3  BIZ TYPE,V4  SB1383,MTD,YTD,SALES ID,START DT,STOP DT,BILLING STR DT,ACT CD,FEE CODE,PRICE LIST,CREDIT LIMIT
1,82,S     ,TA,0,0,,0,0,0,0,,,0,0,,10/29/2021,,10/29/2021,,,S,
1,98,C     ,CA,888.98,963.98,,963.98,0,0,0,MINI MART,,0,7941.21,,6/14/2001,,6/14/2001,,,C,
1,218,SC    ,CA,965.4,965.4,,965.4,0,0,0,WINERY,,0,8391,,7/18/2001,,7/18/2001,,,CO,
1,345,SC    ,CA,890.4,980.4,,980.4,0,0,0,WINERY,,45,7992.99,,8/21/2001,,8/21/2001,,,CO,
1,369,SC    ,CA,44.86,44.86,,44.86,0,0,0,,,0,407.62,,8/20/2001,,8/20/2001,,,CO,
1,567,S     ,CA,97.87,97.87,,97.87,0,0,0,MEDICAL,,0,889.36,,10/23/2001,,10/23/2001,,,S,
1,717,S     ,CA,65.25,0,,0,0,0,0,GROCERY,,0,592.92,,12/4/2001,,12/4/2001,,,S,
1,767,AC    ,CA,89.71,0,,0,0,0,0,WINERY,,0,815.2,,12/24/2001,,12/24/2001,,,CO,
1,800,YC    ,CA,706.5,706.5,,706.5,0,0,0,WINERY,,0,6419.88,,1/21/2002,,1/21/2002,,,CO,
1,806,YC    ,CA,597.92,597.92,,597.92,0,0,0,WINERY,,0,5639.68,,1/7/2002,,1/7/2002,,,CO,
1,939,S     ,CA,195.74,195.74,,195.74,0,0,0,OFFICE BLD,,0,1778.72,,2/26/2002,,,,,S,
1,948,C     ,CA,842.69,0,,0,0,0,0,RESTAURANT,,0,7657.46,,3/4/2002,,3/4/2002,,,C,
1,1084,YC    ,CA,1835.23,3697.99,,1862.76,1835.23,0,0,WINERY,,0,12329.79,,5/31/2021,,5/31/2021,,,CO,
1,1092,SC    ,CA,1373.25,3141.7,,1768.45,1373.25,0,0,WINERY,,0,12492.28,,4/2/2002,,4/2/2002,,,CO,
1,1454,SC    ,CA,452.18,452.18,,452.18,0,0,0,VINEYARD,,0,4108.88,,1/1/1980,,1/1/1980,,,CO,
1,1575,AC    ,CA,760.91,760.91,,760.91,0,0,0,WINERY,,0,7004.3,,6/17/2002,,6/17/2002,,,CO,
1,1742,YC    ,CA,44.86,0,,0,0,0,0,PRESCHOOL,,0,855.43,,9/8/1997,,9/8/1997,,,CO,
1,1767,S     ,CA,363.91,363.91,,363.91,0,0,0,FLORIST,,0,3306.82,,7/4/2002,,7/4/2002,,,S,
1,1824,YC    ,CA,684.42,684.42,,684.42,0,0,0,WINERY,,0,6229.51,,6/19/1995,,6/19/1995,,,CO,
1,2064,YC    ,CA,1693.5,1693.5,,1693.5,0,0,0,WINERY,,0,15388.68,,8/18/2006,,8/18/2006,,,CO,
1,2226,SC    ,CA,0,1456.44,,1456.44,0,0,0,VINEYARD,,0,11082.83,,9/13/2002,,9/13/2002,,,CO,
1,2253,S     ,CA,97.87,-38.81,,-38.81,0,0,0,CHURCH,,0,889.86,,9/24/2002,,9/24/2002,,,S,
1,2339,SC    ,CA,1522.96,3068.76,,1545.8,1522.96,0,0,VINEYARD,,0,13121.64,,10/3/2002,,10/3/2002,,,CO,
1,2342,YC    ,CA,487.05,487.05,,487.05,0,0,0,WINERY,,0,4425.72,,10/7/2002,,10/7/2002,,,CO,
1,2372,SC    ,CA,199.35,199.35,,199.35,0,0,0,WINERY,,0,1811.46,,10/7/2002,,10/7/2002,,,CO,
