COMPANY,CUST #,CYCLE,ROUTE,DAY,RTE SEQ#,QTY,SIZE,CHG CODE,FREQ,SCHEDULE,BIN #,P/U#,BIN AMT$,TAX BODY,VAR3,VAR4,FEE CODE,PRICE LIST
1,98,CA,23,THU,250,1,4Y,T0, ,---H---,1,1,813.98,C,MINI MART,,,C
1,98,CA,44,TUE,60,1,4Y,CB, ,-T--F--,2,2,75,C,MINI MART,,,C
1,98,CA,44,FRI,50,1,4Y,CB, ,-T--F--,2,2,75,C,MINI MART,,,C
1,218,CA,44,WED,100,1,4Y,CB, ,--W----,1,1,75,SC,WINERY,,,CO
1,218,CA,23,WED,160,1,4Y,T0, ,--W----,2,1,890.4,SC,WINERY,,,CO
1,218,CA,61,WED,33,1,96,CR, ,--W----,3,1,0,SC,WINERY,,,CO
1,218,CA,61,WED,33,1,96,CR, ,--W----,4,1,0,SC,WINERY,,,CO
1,218,CA,62,WED,8148,1,96,CG, ,--W----,5,1,0,SC,WINERY,,,CO
1,218,CA,61,WED,33,1,96,CR, ,--W----,6,1,0,SC,WINERY,,,CO
1,345,CA,23,TUE,60,1,4Y,T0, ,-T-----,1,1,890.4,SC,WINERY,,,CO
1,369,CA,28,MON,90,1,CT,3, ,M------,1,1,44.86,SC,,,,CO
1,369,CA,64,MON,55,1,96,CR, ,M------,2,1,0,SC,,,,CO
1,567,CA,25,TUE,2740,1,CT,9, ,-T-----,1,1,97.87,S,MEDICAL,,,S
1,567,CA,64,TUE,1925,1,96,CR, ,-T-----,2,1,0,S,MEDICAL,,,S
1,717,CA,25,TUE,1110,1,CT,6, ,-T-----,1,1,65.25,S,GROCERY,,,S
1,717,CA,64,TUE,1090,1,96,CR, ,-T-----,2,1,0,S,GROCERY,,,S
1,767,CA,28,WED,3910,1,CT,6, ,--W----,1,1,89.71,AC,WINERY,,,CO
1,767,CA,64,WED,2865,1,96,CR, ,--W----,2,1,0,AC,WINERY,,,CO
1,767,CA,85,WED,1930,1,96,CG, ,--W----,3,1,0,AC,WINERY,,,CO
1,800,CA,21,MON,290,3,CT,9, ,M------,1,1,134.57,YC,WINERY,,,CO
1,800,CA,62,MON,369,3,96,CR, ,M------,2,1,0,YC,WINERY,,,CO
1,800,CA,62,MON,368,3,96,AR, ,M------,3,1,100.93,YC,WINERY,,,CO
1,806,CA,23,WED,505,1,2Y,T2, ,--W----,1,1,597.92,YC,WINERY,,,CO
1,806,CA,64,MON,1380,1,96,CR, ,M------,2,1,0,YC,WINERY,,,CO
1,806,CA,64,MON,1375,1,96,CR, ,M------,3,1,0,YC,WINERY,,,CO
1,806,CA,64,MON,1385,1,96,CR, ,M------,4,1,0,YC,WINERY,,,CO
1,939,CA,28,TUE,2750,2,CT,9, ,-T-----,1,1,97.87,S,OFFICE BLD,,,S
1,939,CA,85,TUE,2155,1,96,CG, ,-T-----,2,1,0,S,OFFICE BLD,,,S
1,939,CA,68,TUE,850,1,96,CR, ,-T-----,3,1,0,S,OFFICE BLD,,,S
1,939,CA,85,TUE,2160,1,96,CG, ,-T-----,4,1,0,S,OFFICE BLD,,,S
1,939,CA,85,TUE,2165,1,96,CG, ,-T-----,5,1,0,S,OFFICE BLD,,,S
1,948,CA,23,MON,540,1,4P,T0, ,M------,1,1,842.69,C,RESTAURANT,,,C
1,1084,CA,29,MON,720,1,4P,T0, ,M--H---,1,2,1760.23,YC,WINERY,,,CO
1,1084,CA,23,THU,840,1,4P,T0, ,M--H---,1,2,1760.23,YC,WINERY,,,CO
1,1084,CA,49,MON,340,1,4Y,CB, ,M------,2,1,75,YC,WINERY,,,CO
1,1084,CA,64,MON,1005,1,96,CR, ,M------,3,1,0,YC,WINERY,,,CO
1,1084,CA,64,MON,1010,1,96,CR, ,M------,4,1,0,YC,WINERY,,,CO
1,1084,CA,85,MON,2500,1,96,CG, ,M------,5,1,0,YC,WINERY,,,CO
1,1084,CA,64,MON,1015,1,96,CR, ,M------,6,1,0,YC,WINERY,,,CO
1,1092,CA,23,TUE,40,1,6Y,T0, ,-T-----,1,1,1298.25,SC,WINERY,,,CO
1,1092,CA,44,TUE,440,1,4Y,CB, ,-T-----,2,1,75,SC,WINERY,,,CO
1,1092,CA,62,TUE,6090,1,96,CR, ,-T-----,3,1,0,SC,WINERY,,,CO
