cust,monthly_bill,cycle,qty,size,commodity,pickups,bin_amount,tax_body,biz_type
98,888.98,CA,1,4,Garbage,1,813.98,C,MINI MART
98,888.98,CA,1,4,Recycle,2,75,C,MINI MART
98,888.98,CA,1,4,Recycle,2,75,C,MINI MART
218,965.4,CA,1,4,Recycle,1,75,COUNTY,WINERY
218,965.4,CA,1,4,Garbage,1,890.4,COUNTY,WINERY
218,965.4,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
218,965.4,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
218,965.4,CA,1,0.48,Compost,1,0,COUNTY,WINERY
218,965.4,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
345,890.4,CA,1,4,Garbage,1,890.4,COUNTY,WINERY
567,97.87,CA,1,0.48,Garbage,1,97.87,S,MEDICAL
567,97.87,CA,1,0.48,Recycle,1,0,S,MEDICAL
717,65.25,CA,1,0.32,Garbage,1,65.25,S,GROCERY
717,65.25,CA,1,0.48,Recycle,1,0,S,GROCERY
767,89.71,CA,1,0.32,Garbage,1,89.71,COUNTY,WINERY
767,89.71,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
767,89.71,CA,1,0.48,Compost,1,0,COUNTY,WINERY
800,706.5,CA,3,0.48,Garbage,1,134.57,COUNTY,WINERY
800,706.5,CA,3,0.48,Recycle,1,0,COUNTY,WINERY
800,706.5,CA,3,0.48,Recycle,1,100.93,COUNTY,WINERY
806,597.92,CA,1,2,Garbage,1,597.92,COUNTY,WINERY
806,597.92,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
806,597.92,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
806,597.92,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
939,195.74,CA,2,0.48,Garbage,1,97.87,S,OFFICE BLD
939,195.74,CA,1,0.48,Compost,1,0,S,OFFICE BLD
939,195.74,CA,1,0.48,Recycle,1,0,S,OFFICE BLD
939,195.74,CA,1,0.48,Compost,1,0,S,OFFICE BLD
939,195.74,CA,1,0.48,Compost,1,0,S,OFFICE BLD
948,842.69,CA,1,4,Garbage,1,842.69,C,RESTAURANT
1084,1835.23,CA,1,4,Garbage,2,1760.23,COUNTY,WINERY
1084,1835.23,CA,1,4,Garbage,2,1760.23,COUNTY,WINERY
1084,1835.23,CA,1,4,Recycle,1,75,COUNTY,WINERY
1084,1835.23,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
1084,1835.23,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
1084,1835.23,CA,1,0.48,Compost,1,0,COUNTY,WINERY
1084,1835.23,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
1092,1373.25,CA,1,6,Garbage,1,1298.25,COUNTY,WINERY
1092,1373.25,CA,1,4,Recycle,1,75,COUNTY,WINERY
1092,1373.25,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
1092,1373.25,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
1092,1373.25,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
1575,760.91,CA,1,2,Garbage,1,760.91,COUNTY,WINERY
1742,44.86,CA,1,0.16,Garbage,1,44.86,COUNTY,PRESCHOOL
