monthly_bill,tax_body,biz_type,total_yards,garbage,recycle,needed_recycle,compost,needed_compost,enough_recycle_compost
888.98,C,MINI MART,20.0,4.0,16.0,2,0.0,1,0
965.4,COUNTY,WINERY,9.920000000000002,4.0,5.440000000000001,2,0.48,1,0
890.4,COUNTY,WINERY,4.0,4.0,0.0,2,0.0,1,0
97.87,S,MEDICAL,0.96,0.48,0.48,0,0.0,0,1
65.25,S,GROCERY,0.8,0.32,0.48,0,0.0,0,1
89.71,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1
706.5,COUNTY,WINERY,4.32,1.44,2.88,1,0.0,0,1
597.92,COUNTY,WINERY,3.44,2.0,1.44,1,0.0,1,0
195.74,S,OFFICE BLD,2.88,0.96,0.48,0,1.44,0,1
842.69,C,RESTAURANT,4.0,4.0,0.0,2,0.0,1,0
1835.23,COUNTY,WINERY,21.92,16.0,5.440000000000001,8,0.48,5,0
1373.25,COUNTY,WINERY,11.44,6.0,5.440000000000001,3,0.0,2,0
760.91,COUNTY,WINERY,2.0,2.0,0.0,1,0.0,1,0
44.86,COUNTY,PRESCHOOL,1.12,0.16,0.48,0,0.48,0,1
363.91,S,FLORIST,4.4,2.0,1.44,1,0.96,1,0
684.42,COUNTY,WINERY,0.96,0.0,0.96,0,0.0,0,1
1693.5,COUNTY,WINERY,11.44,2.0,0.96,1,8.48,1,0
0.0,COUNTY,VINEYARD,4.94,3.5,1.44,2,0.0,1,0
97.87,S,CHURCH,1.44,0.48,0.48,0,0.48,0,1
1522.96,COUNTY,VINEYARD,18.4,6.0,12.4,3,0.0,2,0
487.05,COUNTY,WINERY,2.88,1.44,1.44,1,0.0,0,1
199.35,COUNTY,WINERY,1.76,0.32,1.44,0,0.0,0,1
293.61,S,HOME IMPRO,2.88,1.44,1.44,1,0.0,0,1
1227.47,C,MULTIFAMIL,8.4,6.0,1.44,3,0.96,2,0
67.49,Y,PRESCHOOL,1.28,0.32,0.48,0,0.48,0,1
89.71,COUNTY,WINERY,0.8,0.32,0.48,0,0.0,0,1
134.57,COUNTY,VINEYARD,0.96,0.48,0.48,0,0.0,0,1
195.74,S,MEDICAL,2.88,0.96,0.96,0,0.96,0,1
632.56,COUNTY,WINERY,13.28,2.0,10.48,1,0.8,1,0
1005.67,COUNTY,MIXED USE,6.08,4.0,1.44,2,0.64,1,0
597.92,COUNTY,WINERY,3.92,2.0,1.44,1,0.48,1,0
2798.11,COUNTY,WINERY,20.8,6.48,14.0,3,0.32,2,0
632.56,COUNTY,WINERY,13.44,2.0,10.96,1,0.48,1,0
1150.37,COUNTY,WINERY,6.0,2.0,4.0,1,0.0,1,0
2358.3,COUNTY,WINERY,35.92,6.0,29.92,3,0.0,2,0
103.93,C,LODGING-FW,1.44,0.48,0.96,0,0.0,0,1
134.57,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1
945.34,COUNTY,WINERY,4.0,2.0,2.0,1,0.0,1,0
135.12,C,SCHOOL,0.96,0.0,0.48,0,0.48,0,1
134.57,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1
101.24,Y,MULTIFAMIL,1.44,0.48,0.48,0,0.48,0,1
370.07,COUNTY,WINERY,2.88,0.96,1.44,0,0.48,0,1
439.46,C,STRIP MALL,3.92,2.0,1.44,1,0.48,1,0
134.57,COUNTY,WINERY,0.96,0.48,0.48,0,0.0,0,1
89.71,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1
69.28,C,FOURPLEX,2.24,0.32,0.96,0,0.96,0,1
1373.25,COUNTY,UTILITY,60.0,6.0,54.0,3,0.0,2,0
171.28,S,OFFICE BLD,1.44,0.48,0.96,0,0.0,0,1
97.87,S,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1
195.74,S,RESTAURANT,1.44,0.96,0.48,0,0.0,0,1
0.0,COUNTY,WINERY,3.98,3.5,0.48,2,0.0,1,0
527.42,COUNTY,WINERY,3.6,2.16,1.44,1,0.0,1,0
134.57,COUNTY,LANDSCAPER,0.96,0.48,0.48,0,0.0,0,1
358.85,COUNTY,WINERY,3.2,1.28,1.44,1,0.48,0,1
253.08,Y,WINERY,2.24,0.48,1.44,0,0.32,0,1
32.62,S,STRIP MALL,0.64,0.16,0.48,0,0.0,0,1
32.62,S,OFFICE BLD,0.64,0.16,0.48,0,0.0,0,1
65.25,S,RETAIL,0.8,0.32,0.48,0,0.0,0,1
97.87,S,RETAIL,0.96,0.48,0.48,0,0.0,0,1
0.0,COUNTY,WINERY,7.0,3.5,3.5,2,0.0,1,0
130.5,S,UTILITY,1.6,0.64,0.48,0,0.48,0,1
65.25,S,HOME IMPRO,0.8,0.32,0.48,0,0.0,0,1
89.71,COUNTY,CONTRACTOR,1.28,0.32,0.48,0,0.48,0,1
665.6,COUNTY,MIXED USE,3.92,2.0,0.48,1,1.44,1,0
0.0,COUNTY,WINERY,7.0,3.5,3.5,2,0.0,1,0
514.46,C,RESTAURANT,14.64,2.0,6.4,1,6.24,1,1
1772.84,COUNTY,RESTAURANT,90.56,4.0,69.28,2,17.28,1,1
482.56,COUNTY,WINERY,3.44,2.0,1.44,1,0.0,1,0
760.91,COUNTY,WINERY,3.44,2.0,1.44,1,0.0,1,0
363.91,S,CONTRACTOR,2.0,2.0,0.0,1,0.0,1,0
32.62,S,COMMUNITY,0.64,0.16,0.48,0,0.0,0,1
2238.2,S,MIXED USE,32.0,16.0,16.0,8,0.0,5,0
134.57,COUNTY,LODGING,1.44,0.48,0.48,0,0.48,0,1
179.42,COUNTY,WINERY,2.56,0.64,0.96,0,0.96,0,1
1048.95,S,GROCERY,58.0,18.0,37.44,9,2.56,6,0
540.19,COUNTY,WINERY,3.92,2.0,1.44,1,0.48,1,0
269.13,S,MULTIFAMIL,5.76,0.96,3.36,0,1.44,0,1
65.24,S,DUPLEX,1.76,0.32,0.96,0,0.48,0,1
89.71,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1
89.71,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1
97.87,S,RESTAURANT,1.44,0.48,0.96,0,0.0,0,1
583.49,COUNTY,WINERY,4.4,2.0,1.92,1,0.48,1,0
1130.67,COUNTY,WINERY,5.44,4.0,1.44,2,0.0,1,0
304.02,C,MULTIFAMIL,2.88,1.44,0.96,1,0.48,0,0
370.07,COUNTY,WINERY,2.4,0.96,0.96,0,0.48,0,1
482.56,COUNTY,CONTRACTOR,2.48,2.0,0.48,1,0.0,1,0
844.48,COUNTY,WINERY,4.96,2.0,2.0,1,0.96,1,0
177.16,Y,WINERY,1.44,0.48,0.96,0,0.0,0,1
1624.18,COUNTY,WINERY,40.400000000000006,6.0,33.92,3,0.48,2,0
134.57,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1
72.9,COUNTY,WINERY,0.64,0.16,0.48,0,0.0,0,1
1638.21,COUNTY,WINERY,8.96,4.0,4.0,2,0.96,1,0
1185.33,S,RESTAURANT,50.32000000000001,0.0,6.0,0,44.32000000000001,0,1
1601.16,Y,RESTAURANT,33.44,16.0,17.439999999999998,8,0.0,5,0
134.57,COUNTY,VINEYARD,1.44,0.48,0.48,0,0.48,0,1
32.62,S,RETAIL,0.64,0.16,0.48,0,0.0,0,1
97.87,S,COMMUNITY,0.96,0.48,0.48,0,0.0,0,1
253.08,Y,RETAIL,1.92,0.48,1.44,0,0.0,0,1
1005.67,COUNTY,CONTRACTOR,4.0,4.0,0.0,2,0.0,1,0
44.86,COUNTY,POSTOFFICE,0.64,0.16,0.48,0,0.0,0,1
2317.12,C,MULTIFAMIL,26.4,24.0,1.92,12,0.48,8,0
269.14,COUNTY,CHURCH,1.92,0.96,0.48,0,0.48,0,1
1627.98,C,LODGING,16.0,16.0,0.0,8,0.0,5,0
276.77,C,MEDICAL,2.4,0.96,0.48,0,0.96,0,1
2816.91,COUNTY,WINERY,16.4,6.0,8.0,3,2.4,2,1
5246.71,COUNTY,WINERY,34.0,16.0,18.0,8,0.0,5,0
3322.57,COUNTY,WINERY,20.0,6.0,10.0,3,4.0,2,1
1898.55,COUNTY,LODGING-FW,18.880000000000003,16.0,1.92,8,0.96,5,0
303.72,Y,MULTIFAMIL,2.88,1.44,1.44,1,0.0,0,1
1558.21,COUNTY,UTILITY,9.44,4.0,5.44,2,0.0,1,0
428.24,C,MULTIFAMIL,2.96,2.0,0.96,1,0.0,1,0
1791.03,C,LODGING,19.36,16.0,2.88,8,0.48,5,0
202.48,Y,CHURCH,2.88,0.96,0.48,0,1.44,0,1
1511.27,S,STRIP MALL,11.84,8.0,3.36,4,0.48,3,0
608.04,C,MULTIFAMIL,7.2,2.88,2.88,1,1.44,1,1
6451.98,C,MOBILEHOME,206.24,30.56,86.4,15,89.28,10,1
2398.21,C,LODGING,37.92,36.0,1.44,18,0.48,12,0
140.51,C,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1
439.46,C,RETAIL,3.44,2.0,1.44,1,0.0,1,0
65.25,S,ENTERTAINM,0.8,0.32,0.48,0,0.0,0,1
255.93,C,POSTOFFICE,2.4,0.48,1.44,0,0.48,0,1
138.56,C,OFFICE BLD,1.6,0.64,0.96,0,0.0,0,1
882.9,C,LODGING,10.4,8.0,1.44,4,0.96,3,0
69.28,C,MEDICAL,1.28,0.32,0.48,0,0.48,0,1
4931.88,C,MOBILEHOME,94.88,23.36,70.08,12,1.44,8,0
67.56,C,MULTIFAMIL,0.8,0.32,0.48,0,0.0,0,1
3008.71,C,GROCERY,79.36,60.0,4.96,30,14.400000000000002,20,0
743.93,S,AUTO,10.48,4.0,6.48,2,0.0,1,0
2035.83,S,LODGING-FW,39.84,36.0,2.4,18,1.44,12,0
4567.25,COUNTY,WINERY,31.44,24.0,7.439999999999999,12,0.0,8,0
97.87,S,AUTO,0.48,0.48,0.0,0,0.0,0,1
69.28,C,OFFICE BLD,1.76,0.32,0.96,0,0.48,0,1
195.74,S,OFFICE BLD,1.44,0.96,0.48,0,0.0,0,1
1278.97,S,RESTAURANT,32.0,32.0,0.0,16,0.0,11,0
6347.58,S,GROCERY,347.68,156.0,162.88,78,28.800000000000004,52,0
363.91,S,AUTO,3.44,2.0,1.44,1,0.0,1,0
743.93,S,HOME IMPRO,21.44,4.0,17.439999999999998,2,0.0,1,0
363.91,S,RETAIL,3.44,2.0,1.44,1,0.0,1,0
171.28,S,POSTOFFICE,1.44,0.48,0.96,0,0.0,0,1
97.87,S,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1
97.87,S,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1
363.91,S,CONTRACTOR,2.0,2.0,0.0,1,0.0,1,0
505.47,S,AUTO,9.92,2.0,6.96,1,0.96,1,0
668.93,S,UTILITY,4.48,4.0,0.48,2,0.0,1,0
743.93,S,AUTO,9.92,4.0,5.44,2,0.48,1,0
1843.37,S,MULTIFAMIL,17.919999999999998,9.76,2.88,5,5.279999999999999,3,0
97.87,S,COMMUNITY,1.44,0.48,0.48,0,0.48,0,1
97.87,S,VINEYARD,0.96,0.48,0.48,0,0.0,0,1
1500.79,S,BAKERY,43.04,16.0,18.4,8,8.64,5,1
195.75,S,MULTIFAMIL,2.4,0.96,0.96,0,0.48,0,1
363.91,S,GROCERY,3.92,2.0,1.44,1,0.48,1,0
363.91,S,SCHOOL,3.92,2.0,1.44,1,0.48,1,0
97.87,S,OFFICE BLD,1.44,0.48,0.48,0,0.48,0,1
391.48,S,MEDICAL,5.28,3.84,0.96,2,0.48,1,0
3208.23,S,HOA,26.0,12.0,10.0,6,4.0,4,1
7013.3,S,MOBILEHOME,139.51999999999998,34.4,105.12,17,0.0,11,0
668.93,S,INDUSTRIAL,5.44,4.0,1.44,2,0.0,1,0
363.91,S,WINERY,2.48,2.0,0.48,1,0.0,1,0
2036.81,S,NRSG HOME,38.4,36.0,1.44,18,0.96,12,0
1170.63,S,MULTIFAMIL,8.0,4.0,4.0,2,0.0,1,0
413.91,S,MULTIFAMIL,3.44,2.0,0.96,1,0.48,1,0
668.93,S,OFFICE BLD,5.44,4.0,0.96,2,0.48,1,0
506.7,C,MULTIFAMIL,2.4,2.4,0.0,1,0.0,1,0
1658.21,COUNTY,LODGING-FW,10.88,4.0,4.0,2,2.88,1,1
363.91,S,CHURCH,5.52,2.0,2.4,1,1.12,1,1
363.91,S,COMMUNITY,2.96,2.0,0.96,1,0.0,1,0
430.47,S,CHURCH,3.44,2.0,0.48,1,0.96,1,0
2804.07,S,OFFICE BLD,54.48,54.0,0.48,27,0.0,18,0
363.91,S,CONTRACTOR,2.96,2.0,0.96,1,0.0,1,0
101.24,Y,CHURCH,1.44,0.48,0.48,0,0.48,0,1
8471.2,Y,MOBILEHOME,159.68,40.16,114.24,20,5.279999999999999,13,0
1601.16,Y,LODGING,21.28,16.0,4.96,8,0.32,5,0
101.24,Y,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1
1548.35,Y,STRIP MALL,17.92,1.44,16.48,1,0.0,0,1
103.93,C,LODGING-FW,1.44,0.48,0.48,0,0.48,0,1
802.51,C,LODGING,31.68,3.36,26.88,2,1.44,1,1
101.24,Y,CHURCH,1.44,0.48,0.48,0,0.48,0,1
1649.14,Y,NRSG HOME,19.360000000000003,16.0,1.44,8,1.92,5,0
890.4,COUNTY,VINEYARD,5.44,4.0,1.44,2,0.0,1,0
1966.06,COUNTY,GROUP HOME,14.000000000000002,6.0,5.440000000000001,3,2.56,2,1
1585.28,COUNTY,INDUSTRIAL,9.44,4.0,5.440000000000001,2,0.0,1,0
1488.25,COUNTY,WINERY,15.44,6.0,9.44,3,0.0,2,0
3499.08,COUNTY,HOSPITAL,12.48,12.48,0.0,6,0.0,4,0
482.56,COUNTY,MOBILEHOME,3.92,2.0,1.44,1,0.48,1,0
482.56,COUNTY,HOSPITAL,2.48,2.0,0.48,1,0.0,1,0
890.4,COUNTY,WINERY,6.24,4.0,0.96,2,1.28,1,0
965.4,COUNTY,POLICEFIRE,9.44,4.0,4.48,2,0.96,1,0
965.4,COUNTY,WINERY,10.96,4.0,6.96,2,0.0,1,0
134.57,COUNTY,SCHOOL,1.44,0.48,0.48,0,0.48,0,1
890.4,COUNTY,VINEYARD,5.44,4.0,1.44,2,0.0,1,0
482.56,COUNTY,CHURCH,3.92,2.0,1.44,1,0.48,1,0
699.2,COUNTY,SCHOOL,4.96,1.92,2.56,1,0.48,1,0
482.56,COUNTY,SCHOOL,6.96,2.0,3.52,1,1.44,1,1
363.91,S,MINI MART,3.44,2.0,1.44,1,0.0,1,0
667.81,COUNTY,VINEYARD,4.0,0.0,4.0,0,0.0,0,1
965.4,COUNTY,WINERY,11.92,4.0,7.439999999999999,2,0.48,1,0
1447.1,COUNTY,VINEYARD,4.0,4.0,0.0,2,0.0,1,0
134.57,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1
890.4,COUNTY,VINEYARD,5.44,4.0,1.44,2,0.0,1,0
0.0,COUNTY,WINERY,10.5,3.5,7.0,2,0.0,1,0
2440.1,COUNTY,WINERY,21.44,4.0,11.44,2,6.0,1,1
134.57,COUNTY,POSTOFFICE,0.96,0.48,0.48,0,0.0,0,1
1708.21,COUNTY,WINERY,17.439999999999998,4.0,13.44,2,0.0,1,0
1373.25,COUNTY,GROCERY,15.76,6.0,4.0,3,5.76,2,1
3579.43,COUNTY,WINERY,12.56,6.0,4.0,3,2.56,2,1
2532.43,COUNTY,VINEYARD,8.0,4.0,4.0,2,0.0,1,0
2721.53,COUNTY,WINERY,25.44,6.0,15.44,3,4.0,2,1
