cust,monthly_bill,tax_body,biz_type,compost,garbage,recycle,total_yards,needed_recycle,enough_recycle,needed_compost,enough_compost
98,888.98,C,MINI MART,0,4,16,20,2,Yes,1,No
98,888.98,C,MINI MART,0,4,16,20,2,Yes,1,No
98,888.98,C,MINI MART,0,4,16,20,2,Yes,1,No
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,2,Yes,1,No
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,2,Yes,1,No
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,2,Yes,1,No
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,2,Yes,1,No
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,2,Yes,1,No
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,2,Yes,1,No
345,890.4,COUNTY,WINERY,0,4,0,4,2,No,1,No
567,97.87,S,MEDICAL,0,0.48,0.48,0.96,0,Yes,0,Yes
567,97.87,S,MEDICAL,0,0.48,0.48,0.96,0,Yes,0,Yes
717,65.25,S,GROCERY,0,0.32,0.48,0.8,0,Yes,0,Yes
717,65.25,S,GROCERY,0,0.32,0.48,0.8,0,Yes,0,Yes
767,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0,Yes,0,Yes
767,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0,Yes,0,Yes
767,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0,Yes,0,Yes
800,706.5,COUNTY,WINERY,0,1.44,2.88,4.32,1,Yes,0,Yes
800,706.5,COUNTY,WINERY,0,1.44,2.88,4.32,1,Yes,0,Yes
800,706.5,COUNTY,WINERY,0,1.44,2.88,4.32,1,Yes,0,Yes
806,597.92,COUNTY,WINERY,0,2,1.44,3.44,1,Yes,1,No
806,597.92,COUNTY,WINERY,0,2,1.44,3.44,1,Yes,1,No
806,597.92,COUNTY,WINERY,0,2,1.44,3.44,1,Yes,1,No
806,597.92,COUNTY,WINERY,0,2,1.44,3.44,1,Yes,1,No
939,195.74,S,OFFICE BLD,1.44,0.96,0.48,2.88,0,Yes,0,Yes
939,195.74,S,OFFICE BLD,1.44,0.96,0.48,2.88,0,Yes,0,Yes
939,195.74,S,OFFICE BLD,1.44,0.96,0.48,2.88,0,Yes,0,Yes
939,195.74,S,OFFICE BLD,1.44,0.96,0.48,2.88,0,Yes,0,Yes
939,195.74,S,OFFICE BLD,1.44,0.96,0.48,2.88,0,Yes,0,Yes
948,842.69,C,RESTAURANT,0,4,0,4,2,No,1,No
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,8,No,5,No
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,8,No,5,No
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,8,No,5,No
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,8,No,5,No
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,8,No,5,No
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,8,No,5,No
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,8,No,5,No
1092,1373.25,COUNTY,WINERY,0,6,5.440000000000001,11.440000000000001,3,Yes,2,No
1092,1373.25,COUNTY,WINERY,0,6,5.440000000000001,11.440000000000001,3,Yes,2,No
1092,1373.25,COUNTY,WINERY,0,6,5.440000000000001,11.440000000000001,3,Yes,2,No
1092,1373.25,COUNTY,WINERY,0,6,5.440000000000001,11.440000000000001,3,Yes,2,No
1092,1373.25,COUNTY,WINERY,0,6,5.440000000000001,11.440000000000001,3,Yes,2,No
1575,760.91,COUNTY,WINERY,0,2,0,2,1,No,1,No
1742,44.86,COUNTY,PRESCHOOL,0.48,0.16,0.48,1.12,0,Yes,0,Yes
1742,44.86,COUNTY,PRESCHOOL,0.48,0.16,0.48,1.12,0,Yes,0,Yes
1742,44.86,COUNTY,PRESCHOOL,0.48,0.16,0.48,1.12,0,Yes,0,Yes
1767,363.91,S,FLORIST,0.96,2,1.44,4.4,1,Yes,1,No
1767,363.91,S,FLORIST,0.96,2,1.44,4.4,1,Yes,1,No
1767,363.91,S,FLORIST,0.96,2,1.44,4.4,1,Yes,1,No
1824,684.42,COUNTY,WINERY,0,0,0.96,0.96,0,Yes,0,Yes
1824,684.42,COUNTY,WINERY,0,0,0.96,0.96,0,Yes,0,Yes
2064,1693.5,COUNTY,WINERY,8.48,2,0.96,11.440000000000001,1,No,1,Yes
2064,1693.5,COUNTY,WINERY,8.48,2,0.96,11.440000000000001,1,No,1,Yes
2064,1693.5,COUNTY,WINERY,8.48,2,0.96,11.440000000000001,1,No,1,Yes
2064,1693.5,COUNTY,WINERY,8.48,2,0.96,11.440000000000001,1,No,1,Yes
