cust,monthly_bill,tax_body,biz_type,compost,garbage,recycle,total_yards,do_they_recycle,do_they_compost,needed_recycle,needed_compost
98,888.98,C,MINI MART,0,4,8,12,Yes,No,8,
98,888.98,C,MINI MART,0,4,8,12,Yes,No,8,
218,965.4,COUNTY,WINERY,0.48,4,4.48,8.96,Yes,Yes,4.48,0.48
218,965.4,COUNTY,WINERY,0.48,4,4.48,8.96,Yes,Yes,4.48,0.48
218,965.4,COUNTY,WINERY,0.48,4,4.48,8.96,Yes,Yes,4.48,0.48
218,965.4,COUNTY,WINERY,0.48,4,4.48,8.96,Yes,Yes,4.48,0.48
567,97.87,S,MEDICAL,0,0.48,0.48,0.96,Yes,No,0.48,
567,97.87,S,MEDICAL,0,0.48,0.48,0.96,Yes,No,0.48,
717,65.25,S,GROCERY,0,0.32,0.48,0.8,Yes,No,0.48,
717,65.25,S,GROCERY,0,0.32,0.48,0.8,Yes,No,0.48,
767,89.71,COUNTY,WINERY,0,0.32,0,0.32,No,No,,
800,706.5,COUNTY,WINERY,0,1.44,2.88,4.32,Yes,No,2.88,
800,706.5,COUNTY,WINERY,0,1.44,2.88,4.32,Yes,No,2.88,
800,706.5,COUNTY,WINERY,0,1.44,2.88,4.32,Yes,No,2.88,
806,597.92,COUNTY,WINERY,0,2,0,2,No,No,,
939,195.74,S,OFFICE BLD,0.48,0.96,0.48,1.92,Yes,Yes,0.48,0.48
939,195.74,S,OFFICE BLD,0.48,0.96,0.48,1.92,Yes,Yes,0.48,0.48
939,195.74,S,OFFICE BLD,0.48,0.96,0.48,1.92,Yes,Yes,0.48,0.48
948,842.69,C,RESTAURANT,0,4,0,4,No,No,,
1084,1835.23,COUNTY,WINERY,0,8,0,8,No,No,,
1092,1373.25,COUNTY,WINERY,0,6,0,6,No,No,,
1575,760.91,COUNTY,WINERY,0,2,0,2,No,No,,
1742,44.86,COUNTY,PRESCHOOL,0.48,0.16,0.48,1.12,Yes,Yes,0.48,0.48
1742,44.86,COUNTY,PRESCHOOL,0.48,0.16,0.48,1.12,Yes,Yes,0.48,0.48
1742,44.86,COUNTY,PRESCHOOL,0.48,0.16,0.48,1.12,Yes,Yes,0.48,0.48
1767,363.91,S,FLORIST,0.96,2,1.44,4.4,Yes,Yes,1.44,0.96
1767,363.91,S,FLORIST,0.96,2,1.44,4.4,Yes,Yes,1.44,0.96
1767,363.91,S,FLORIST,0.96,2,1.44,4.4,Yes,Yes,1.44,0.96
1824,684.42,COUNTY,WINERY,0,0,0.48,0.48,Yes,No,0.48,
2064,1693.5,COUNTY,WINERY,4,2,0,6,No,Yes,,4
2064,1693.5,COUNTY,WINERY,4,2,0,6,No,Yes,,4
2226,0,COUNTY,VINEYARD,0,3.5,0.48,3.98,Yes,No,0.48,
2226,0,COUNTY,VINEYARD,0,3.5,0.48,3.98,Yes,No,0.48,
2253,97.87,S,CHURCH,0.48,0.48,0.48,1.44,Yes,Yes,0.48,0.48
2253,97.87,S,CHURCH,0.48,0.48,0.48,1.44,Yes,Yes,0.48,0.48
2253,97.87,S,CHURCH,0.48,0.48,0.48,1.44,Yes,Yes,0.48,0.48
2339,1522.96,COUNTY,VINEYARD,0,6,12.4,18.4,Yes,No,12.4,
2339,1522.96,COUNTY,VINEYARD,0,6,12.4,18.4,Yes,No,12.4,
2339,1522.96,COUNTY,VINEYARD,0,6,12.4,18.4,Yes,No,12.4,
2339,1522.96,COUNTY,VINEYARD,0,6,12.4,18.4,Yes,No,12.4,
2339,1522.96,COUNTY,VINEYARD,0,6,12.4,18.4,Yes,No,12.4,
2342,487.05,COUNTY,WINERY,0,1.44,0,1.44,No,No,,
2372,199.35,COUNTY,WINERY,0,0.16,0.96,1.1199999999999999,Yes,No,0.96,
2372,199.35,COUNTY,WINERY,0,0.16,0.96,1.1199999999999999,Yes,No,0.96,
2678,293.61,S,HOME IMPRO,0,0.48,0.48,0.96,Yes,No,0.48,
2678,293.61,S,HOME IMPRO,0,0.48,0.48,0.96,Yes,No,0.48,
2754,1227.47,C,MULTIFAMIL,0.96,6,1.44,8.4,Yes,Yes,1.44,0.96
2754,1227.47,C,MULTIFAMIL,0.96,6,1.44,8.4,Yes,Yes,1.44,0.96
2754,1227.47,C,MULTIFAMIL,0.96,6,1.44,8.4,Yes,Yes,1.44,0.96
2754,1227.47,C,MULTIFAMIL,0.96,6,1.44,8.4,Yes,Yes,1.44,0.96
2754,1227.47,C,MULTIFAMIL,0.96,6,1.44,8.4,Yes,Yes,1.44,0.96
2810,67.49,Y,PRESCHOOL,0.48,0.32,0.48,1.28,Yes,Yes,0.48,0.48
2810,67.49,Y,PRESCHOOL,0.48,0.32,0.48,1.28,Yes,Yes,0.48,0.48
2810,67.49,Y,PRESCHOOL,0.48,0.32,0.48,1.28,Yes,Yes,0.48,0.48
3630,134.57,COUNTY,VINEYARD,0,0.48,0,0.48,No,No,,
3723,195.74,S,MEDICAL,0.96,0.96,0.96,2.88,Yes,Yes,0.96,0.96
3723,195.74,S,MEDICAL,0.96,0.96,0.96,2.88,Yes,Yes,0.96,0.96
3723,195.74,S,MEDICAL,0.96,0.96,0.96,2.88,Yes,Yes,0.96,0.96
3842,632.56,COUNTY,WINERY,0.32,0,6,6.32,Yes,Yes,6,0.32
3842,632.56,COUNTY,WINERY,0.32,0,6,6.32,Yes,Yes,6,0.32
3844,1005.67,COUNTY,MIXED USE,0.64,4,0.48,5.119999999999999,Yes,Yes,0.48,0.64
3844,1005.67,COUNTY,MIXED USE,0.64,4,0.48,5.119999999999999,Yes,Yes,0.48,0.64
3844,1005.67,COUNTY,MIXED USE,0.64,4,0.48,5.119999999999999,Yes,Yes,0.48,0.64
4196,2798.11,COUNTY,WINERY,0.32,6.48,4,10.8,Yes,Yes,4,0.32
4196,2798.11,COUNTY,WINERY,0.32,6.48,4,10.8,Yes,Yes,4,0.32
4196,2798.11,COUNTY,WINERY,0.32,6.48,4,10.8,Yes,Yes,4,0.32
4196,2798.11,COUNTY,WINERY,0.32,6.48,4,10.8,Yes,Yes,4,0.32
4260,1150.37,COUNTY,WINERY,0,0,4,4,Yes,No,4,
4308,2358.3,COUNTY,WINERY,0,6,12,18,Yes,No,12,
4308,2358.3,COUNTY,WINERY,0,6,12,18,Yes,No,12,
4420,103.93,C,LODGING-FW,0,0.48,0.48,0.96,Yes,No,0.48,
4420,103.93,C,LODGING-FW,0,0.48,0.48,0.96,Yes,No,0.48,
4449,945.34,COUNTY,WINERY,0,2,2,4,Yes,No,2,
4449,945.34,COUNTY,WINERY,0,2,2,4,Yes,No,2,
4454,135.12,C,SCHOOL,0.48,0,0.48,0.96,Yes,Yes,0.48,0.48
4454,135.12,C,SCHOOL,0.48,0,0.48,0.96,Yes,Yes,0.48,0.48
4520,101.24,Y,MULTIFAMIL,0.48,0.48,0.48,1.44,Yes,Yes,0.48,0.48
4520,101.24,Y,MULTIFAMIL,0.48,0.48,0.48,1.44,Yes,Yes,0.48,0.48
4520,101.24,Y,MULTIFAMIL,0.48,0.48,0.48,1.44,Yes,Yes,0.48,0.48
4631,370.07,COUNTY,WINERY,0,0.96,0,0.96,No,No,,
4686,439.46,C,STRIP MALL,0.48,2,1.44,3.92,Yes,Yes,1.44,0.48
4686,439.46,C,STRIP MALL,0.48,2,1.44,3.92,Yes,Yes,1.44,0.48
4686,439.46,C,STRIP MALL,0.48,2,1.44,3.92,Yes,Yes,1.44,0.48
4831,69.28,C,FOURPLEX,0.96,0.32,0.96,2.24,Yes,Yes,0.96,0.96
4831,69.28,C,FOURPLEX,0.96,0.32,0.96,2.24,Yes,Yes,0.96,0.96
4831,69.28,C,FOURPLEX,0.96,0.32,0.96,2.24,Yes,Yes,0.96,0.96
4845,1373.25,COUNTY,UTILITY,0,6,18,24,Yes,No,18,
4845,1373.25,COUNTY,UTILITY,0,6,18,24,Yes,No,18,
4859,171.28,S,OFFICE BLD,0,0.48,0.48,0.96,Yes,No,0.48,
4859,171.28,S,OFFICE BLD,0,0.48,0.48,0.96,Yes,No,0.48,
5017,195.74,S,RESTAURANT,0,0.96,0.48,1.44,Yes,No,0.48,
5017,195.74,S,RESTAURANT,0,0.96,0.48,1.44,Yes,No,0.48,
5026,0,COUNTY,WINERY,0,3.5,0,3.5,No,No,,
5055,527.42,COUNTY,WINERY,0,0.16,0,0.16,No,No,,
5212,134.57,COUNTY,LANDSCAPER,0,0.48,0.48,0.96,Yes,No,0.48,
5212,134.57,COUNTY,LANDSCAPER,0,0.48,0.48,0.96,Yes,No,0.48,
5401,253.08,Y,WINERY,0.32,0.48,0.96,1.76,Yes,Yes,0.96,0.32
5401,253.08,Y,WINERY,0.32,0.48,0.96,1.76,Yes,Yes,0.96,0.32
5401,253.08,Y,WINERY,0.32,0.48,0.96,1.76,Yes,Yes,0.96,0.32
5401,253.08,Y,WINERY,0.32,0.48,0.96,1.76,Yes,Yes,0.96,0.32
5492,32.62,S,STRIP MALL,0,0.16,0.48,0.64,Yes,No,0.48,
5492,32.62,S,STRIP MALL,0,0.16,0.48,0.64,Yes,No,0.48,
5504,32.62,S,OFFICE BLD,0,0.16,0,0.16,No,No,,
5662,65.25,S,RETAIL,0,0.32,0.48,0.8,Yes,No,0.48,
5662,65.25,S,RETAIL,0,0.32,0.48,0.8,Yes,No,0.48,
5827,97.87,S,RETAIL,0,0.48,0,0.48,No,No,,
5868,0,COUNTY,WINERY,0,0,3.5,3.5,Yes,No,3.5,
6090,130.5,S,UTILITY,0.48,0.32,0.48,1.28,Yes,Yes,0.48,0.48
6090,130.5,S,UTILITY,0.48,0.32,0.48,1.28,Yes,Yes,0.48,0.48
6090,130.5,S,UTILITY,0.48,0.32,0.48,1.28,Yes,Yes,0.48,0.48
6204,65.25,S,HOME IMPRO,0,0.32,0,0.32,No,No,,
6205,89.71,COUNTY,CONTRACTOR,0.48,0.32,0.48,1.28,Yes,Yes,0.48,0.48
6205,89.71,COUNTY,CONTRACTOR,0.48,0.32,0.48,1.28,Yes,Yes,0.48,0.48
6205,89.71,COUNTY,CONTRACTOR,0.48,0.32,0.48,1.28,Yes,Yes,0.48,0.48
6413,665.6,COUNTY,MIXED USE,0.96,2,0,2.96,No,Yes,,0.96
6413,665.6,COUNTY,MIXED USE,0.96,2,0,2.96,No,Yes,,0.96
6413,665.6,COUNTY,MIXED USE,0.96,2,0,2.96,No,Yes,,0.96
6640,514.46,C,RESTAURANT,2.4,2,5.92,10.32,Yes,Yes,5.92,2.4
6640,514.46,C,RESTAURANT,2.4,2,5.92,10.32,Yes,Yes,5.92,2.4
6640,514.46,C,RESTAURANT,2.4,2,5.92,10.32,Yes,Yes,5.92,2.4
6640,514.46,C,RESTAURANT,2.4,2,5.92,10.32,Yes,Yes,5.92,2.4
6640,514.46,C,RESTAURANT,2.4,2,5.92,10.32,Yes,Yes,5.92,2.4
6640,514.46,C,RESTAURANT,2.4,2,5.92,10.32,Yes,Yes,5.92,2.4
6796,1772.84,COUNTY,RESTAURANT,5.76,4,18.88,28.64,Yes,Yes,18.88,5.76
6796,1772.84,COUNTY,RESTAURANT,5.76,4,18.88,28.64,Yes,Yes,18.88,5.76
6796,1772.84,COUNTY,RESTAURANT,5.76,4,18.88,28.64,Yes,Yes,18.88,5.76
6796,1772.84,COUNTY,RESTAURANT,5.76,4,18.88,28.64,Yes,Yes,18.88,5.76
6796,1772.84,COUNTY,RESTAURANT,5.76,4,18.88,28.64,Yes,Yes,18.88,5.76
6796,1772.84,COUNTY,RESTAURANT,5.76,4,18.88,28.64,Yes,Yes,18.88,5.76
7567,363.91,S,CONTRACTOR,0,2,0,2,No,No,,
7679,32.62,S,COMMUNITY,0,0.16,0.48,0.64,Yes,No,0.48,
7679,32.62,S,COMMUNITY,0,0.16,0.48,0.64,Yes,No,0.48,
