cust,monthly_bill,tax_body,biz_type,compost,garbage,recycle,total_yards,needed_recycle,needed_compost
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,5.440000000000001,0.48
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,5.440000000000001,0.48
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,5.440000000000001,0.48
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,5.440000000000001,0.48
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,5.440000000000001,0.48
218,965.4,COUNTY,WINERY,0.48,4,5.440000000000001,9.920000000000002,5.440000000000001,0.48
767,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
767,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
767,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
939,195.74,S,OFFICE BLD,1.44,0.96,0.48,2.88,0.48,1.44
939,195.74,S,OFFICE BLD,1.44,0.96,0.48,2.88,0.48,1.44
939,195.74,S,OFFICE BLD,1.44,0.96,0.48,2.88,0.48,1.44
939,195.74,S,OFFICE BLD,1.44,0.96,0.48,2.88,0.48,1.44
939,195.74,S,OFFICE BLD,1.44,0.96,0.48,2.88,0.48,1.44
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,5.440000000000001,0.48
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,5.440000000000001,0.48
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,5.440000000000001,0.48
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,5.440000000000001,0.48
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,5.440000000000001,0.48
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,5.440000000000001,0.48
1084,1835.23,COUNTY,WINERY,0.48,16,5.440000000000001,21.92,5.440000000000001,0.48
1742,44.86,COUNTY,PRESCHOOL,0.48,0.16,0.48,1.12,0.48,0.48
1742,44.86,COUNTY,PRESCHOOL,0.48,0.16,0.48,1.12,0.48,0.48
1742,44.86,COUNTY,PRESCHOOL,0.48,0.16,0.48,1.12,0.48,0.48
1767,363.91,S,FLORIST,0.96,2,1.44,4.4,1.44,0.96
1767,363.91,S,FLORIST,0.96,2,1.44,4.4,1.44,0.96
1767,363.91,S,FLORIST,0.96,2,1.44,4.4,1.44,0.96
2064,1693.5,COUNTY,WINERY,8.48,2,0.96,11.440000000000001,0.96,8.48
2064,1693.5,COUNTY,WINERY,8.48,2,0.96,11.440000000000001,0.96,8.48
2064,1693.5,COUNTY,WINERY,8.48,2,0.96,11.440000000000001,0.96,8.48
2064,1693.5,COUNTY,WINERY,8.48,2,0.96,11.440000000000001,0.96,8.48
2064,1693.5,COUNTY,WINERY,8.48,2,0.96,11.440000000000001,0.96,8.48
2064,1693.5,COUNTY,WINERY,8.48,2,0.96,11.440000000000001,0.96,8.48
2253,97.87,S,CHURCH,0.48,0.48,0.48,1.44,0.48,0.48
2253,97.87,S,CHURCH,0.48,0.48,0.48,1.44,0.48,0.48
2253,97.87,S,CHURCH,0.48,0.48,0.48,1.44,0.48,0.48
2754,1227.47,C,MULTIFAMIL,0.96,6,1.44,8.4,1.44,0.96
2754,1227.47,C,MULTIFAMIL,0.96,6,1.44,8.4,1.44,0.96
2754,1227.47,C,MULTIFAMIL,0.96,6,1.44,8.4,1.44,0.96
2754,1227.47,C,MULTIFAMIL,0.96,6,1.44,8.4,1.44,0.96
2754,1227.47,C,MULTIFAMIL,0.96,6,1.44,8.4,1.44,0.96
2810,67.49,Y,PRESCHOOL,0.48,0.32,0.48,1.28,0.48,0.48
2810,67.49,Y,PRESCHOOL,0.48,0.32,0.48,1.28,0.48,0.48
