CO,CUST#,CUSTOMER NAME,SERVICE NAME,TAX BODY,CYCLE,MTH$,BAL DUE,UNAPPLIED,CURRENT,30+,60+,90+,AREA CD#1,PHONE #1,AREA CD#2,PHONE #2,BILLING ADDR,BILLING CITY,BILLING STATE,BILLING ZIP,SERVICE ADDR,SERVICE CITY,SERVICE STATE,SERVICE ZIP,CONTACT,V0  User Field,V1  CART SURCHARG,V2  MF UNITS,V3  BIZ TYPE,V4  SB1383,V5  Alternate Nam,V6  Opted out of,VARIABLE 7,VARIABLE 8,VARIABLE 9,V10 Old Account #,VARIABLE 11,VARIABLE 12,VARIABLE 13,VARIABLE 14,RES,MTD,YTD,SALES ID,START DT,STOP DT,BILLING STR DT,ACT CD,FEE CODE,PRICE LIST,CREDIT LIMIT,AREA CD#3,PHONE #3,SERVICE COUNTY,SERV MISC FLAG,BILL MISC FLAG,GENERAL EMAIL,BILLING EMAIL,F/C FLAG
01,82,LYNN & CHRIS WEBER,LYNN & CHRIS WEBER,S     ,TA,0,0,,0,0,0,0,707,963-7657,707,,1611  DORIS CT,ST HELENA,CA,94574    ,1611  DORIS CT,ST HELENA,CA,94574    ,,,,,,,,,,,,,,,,,N,0,0,,10/29/2021,,10/29/2021,,,S,,,,,,,,,Y
01,98,FAST & EASY MART 56,FAST & EASY MART 56,C     ,CA,888.98,963.98,,963.98,0,0,0,707,942-4860,707,280-3728,5000 E 2ND ST  SUITE G,BENICIA,CA,945101019,1108  LINCOLN AVE,CALISTOGA,CA,94515    ,NOOR MOHAMM 942-4071,,,,MINI MART,,,,,,,,,,,,N,0,7941.21,,06/14/2001,,06/14/2001,,,C,,,,,,,,,Y
01,218,EHLERS ESTATE,EHLERS ESTATE,SC    ,CA,965.4,965.4,,965.4,0,0,0,707,963-5972,707,,3222  EHLERS LN,ST HELENA,CA,94574    ,3222  EHLERS LN,ST HELENA,CA,94574    ,MAUREEN,,,,WINERY,,,,,,,,,,,,N,0,8391,,07/18/2001,,07/18/2001,,,CO,,,,,,,maureen@ehlersestate.com,accounting@ehlersestate.com,Y
01,345,KELHAM WINERY,KELHAM WINERY,SC    ,CA,890.4,980.4,,980.4,0,0,0,707,963-2000,707,,360 E ZINFANDEL LN,ST HELENA,CA,94574    ,360 E ZINFANDEL LN,ST HELENA,CA,94574    ,RON,,,,WINERY,,,,,,,,,,,,N,45,7992.99,,08/21/2001,,08/21/2001,,,CO,,,,,,,info@KelhamVineyards.com,info@KelhamVineyards.com,Y
01,369,NAPA COUNTY FIRE DEPT,RUTHERFORD FIRE DEPT,SC    ,CA,44.86,44.86,,44.86,0,0,0,707,963-7351,707,944-2229,1125  THIRD ST  2ND FLOOR,NAPA,CA,94559    ,1995 S ST HELENA HWY,RUTHERFORD,CA,94573    ,MIKE NEIL,,,,,,,,,,,,,,,,N,0,407.62,,08/20/2001,,08/20/2001,,,CO,,,,,,,,,Y
01,567,FIDEL DELGADILLO,FIDEL DELGADILLO,S     ,CA,97.87,97.87,,97.87,0,0,0,707,963-9429,707,,1370  ADAMS ST,ST HELENA,CA,945741938,1370  ADAMS ST,ST HELENA,CA,945741938,FIDEL DELGADILLO,,,,MEDICAL,,,,,,,,,,,,N,0,889.36,,10/23/2001,,10/23/2001,,,S,,,,,,,delgadillo.dds@gmail.com,,Y
01,717,OLIVIER NAPA VALLEY,OLIVIER NAPA VALLEY,S     ,CA,65.25,0,,0,0,0,0,707,967-8777,707,967-8500,1020  VINTAGE AVE,ST HELENA,CA,94574    ,1375  MAIN ST,ST HELENA,CA,94574    ,KEVIN,,,,GROCERY,,,,,,,,,,,,N,0,592.92,,12/04/2001,,12/04/2001,,,S,,,,,,,billing@oliviernapavalley.com,,Y
01,767,SUMMIT LAKE VINEYARDS,SUMMIT LAKE VINEYARDS,AC    ,CA,89.71,0,,0,0,0,0,707,965-2488,707,,2000  SUMMIT LAKE DR,ANGWIN,CA,94508    ,2000  SUMMIT LAKE DR,ANGWIN,CA,94508    ,HEATHER GRIFFIN,,,,WINERY,,,,,,,,,,,,N,0,815.2,,12/24/2001,,12/24/2001,,,CO,,,,,,,,,Y
01,800,STAGLIN FAMILY VINEYARD,STAGLIN FAMILY VINEYARD,YC    ,CA,706.5,706.5,,706.5,0,0,0,707,963-3994,707,967-9668,P O BOX 680,RUTHERFORD,CA,94573    ,1570  BELLA OAKS LN,YOUNTVILLE,CA,94599    ,ADAM BROWN,,,,WINERY,,,,,,,,,,,,N,0,6419.88,,01/21/2002,,01/21/2002,,,CO,,,,,,,Matt@staglinfamily.com,adam@staglinfamily.com,Y
01,806,RED BARN RANCH,ROUND POND,YC    ,CA,597.92,597.92,,597.92,0,0,0,707,302-2502,707,963-9346,P O BOX 556,RUTHERFORD,CA,94573    ,830  RUTHERFORD RD,RUTHERFORD,CA,94573    ,JULIE,,,,WINERY,,,,,,,,,,,,N,0,5639.68,,01/07/2002,,01/07/2002,,,CO,,,,,,,julie@roundpond.com,julie@roundpond.com,Y
01,939,1250 CHURCH ST HOLDINGS LLC,1250 CHURCH ST HOLDINGS LLC,S     ,CA,195.74,195.74,,195.74,0,0,0,707,963-5627,707,,P O BOX 670,ST HELENA,CA,94574    ,1250  CHURCH ST,ST HELENA,CA,94574    ,ANNA TRUE,,,,OFFICE BLD,,,,,,,,,,,,N,0,1778.72,,02/26/2002,,,,,S,,,,,,,,,Y
